######
#
# Tables des quantile, avec alpha en ligne et delta en colonne
#
# Paramètres de la simulation
#
# deltamin = 0.25
# multinvpasdelta = 2
# multdiscretisation = 10
# mindiscretisation = 1000
# alphamin = 0.01
# multinvpasalpha = 2
# alphamax = 0.5
# multtraj = 10
# mintraj = 10000
#
# Taillemaxbatch = 500000
#
# Ndiscretisation = 1040
# Ntraj = 10080
#
######
"0.875" "0.75" "0.625" "0.5" "0.375" "0.25"
"0.5" 1.15280516742589 1.39089970279182 1.61264527928373 1.8204435427019 2.03856612179194 2.2965285578992
"0.495" 1.15928890863395 1.39862635991157 1.61965034131271 1.82846962946878 2.04491910447819 2.30484889702201
"0.49" 1.16731467200864 1.40561345659271 1.6273555220343 1.83722497722618 2.0530911989277 2.3108305505572
"0.485" 1.17612876853511 1.41257591240366 1.63483157268816 1.84327662394994 2.06008756451777 2.31654430388999
"0.48" 1.18486847399582 1.42178103653644 1.64182788444605 1.85102364402637 2.06712632681514 2.32505589781638
"0.475" 1.19495647530155 1.42904022400201 1.65037275771684 1.85762526012538 2.07262381622918 2.32987597307315
"0.47" 1.20409482889327 1.43744385997779 1.65779851496167 1.86602061719009 2.07911758107528 2.33954332746914
"0.465" 1.21180292165894 1.44486187630601 1.6641344519322 1.87462703614235 2.08666479557006 2.34701899810454
"0.46" 1.22091520099325 1.45379416237314 1.6706824190228 1.8831544101857 2.09478719274745 2.35574577612416
"0.455" 1.22911051299254 1.46296094044698 1.68050474168575 1.89099098038069 2.10100012726217 2.36548520076345
"0.45" 1.23800009923756 1.47108748655033 1.68703551659026 1.89815327192247 2.10860913725722 2.37558354612955
"0.445" 1.24481920767308 1.47912271923324 1.69855988654309 1.90551414854937 2.11768358490827 2.38294609693516
"0.44" 1.25096202433189 1.48831493551523 1.70614479693948 1.91425219588804 2.12568363227978 2.38998402651137
"0.435" 1.2588810539234 1.4955482866147 1.71374663736169 1.92330380261327 2.1346254520115 2.39630658775105
"0.43" 1.26865007665153 1.50484526643219 1.72006400029305 1.9311413559618 2.14260950020566 2.40188437754591
"0.425" 1.2773597335456 1.51430507436312 1.72831193938136 1.93734289326212 2.15149543158146 2.40900171772919
"0.42" 1.28612080268784 1.52338001606027 1.73636387931674 1.94496235431593 2.1571264529184 2.41556924982243
"0.415" 1.29513573906297 1.53439431040762 1.74532527868162 1.9521009683736 2.16426942442266 2.42171895938303
"0.41" 1.30289449734386 1.54307870915156 1.75223242862018 1.96118679892188 2.17247558415541 2.42911198103565
"0.405" 1.31225090011234 1.55121625525783 1.76075254786826 1.96802753337827 2.1819340453289 2.43729980173417
"0.4" 1.32119217311541 1.5597379886904 1.76963549152224 1.97558898349159 2.18900485731763 2.44573808716795
"0.395" 1.32850207688047 1.57048593144338 1.77744707806405 1.98226624861196 2.19667461102298 2.45237098146814
"0.39" 1.33695992749955 1.58005685934549 1.78642685437764 1.99069863823269 2.20553345483123 2.46072267872051
"0.385" 1.34651858932652 1.58707197315497 1.7954128322857 1.99854909175481 2.21289078148947 2.47019792974977
"0.38" 1.35542353294796 1.59453935285428 1.80441847592874 2.00683436265729 2.22102850774431 2.47916493951048
"0.375" 1.36429161546208 1.60159564584842 1.81309813847489 2.01538871083771 2.22823056757607 2.48860575370975
"0.37" 1.37190721533109 1.60838803049125 1.81951071904645 2.02458566111064 2.23475730883182 2.49756445631691
"0.365" 1.37946527264367 1.61498822227672 1.82808853169711 2.03265658459627 2.24468163406167 2.50825321644034
"0.36" 1.39082580494253 1.62348606571263 1.83717686870167 2.04023976851653 2.2531363682603 2.51748687122175
"0.355" 1.40083862737944 1.63434516038949 1.84387093927658 2.04745615110285 2.26074922765605 2.52346848157035
"0.35" 1.40973775251678 1.64202736564746 1.85106171680949 2.05696966009666 2.26910943517563 2.53112339987802
"0.345" 1.4187437724671 1.65043480002057 1.85924764897197 2.06669057627599 2.27854865577211 2.54019934123947
"0.34" 1.42751120895825 1.65911476805618 1.86900593424336 2.07253676492646 2.28693628710666 2.54836278307619
"0.335" 1.43829449439061 1.66914618885829 1.87721455597922 2.07918173409339 2.29508555983075 2.55619851393317
"0.33" 1.44704962089575 1.67887350484051 1.88751058637744 2.0855433689696 2.30373756023515 2.56339311099048
"0.325" 1.45705254696224 1.68660931391644 1.89575851649742 2.09581760633519 2.31153087563334 2.57145550842101
"0.32" 1.46740629101483 1.69862476552125 1.90546912592866 2.10470951837629 2.32094669981235 2.58005650414087
"0.315" 1.4762083464804 1.70811315782456 1.91426306777029 2.11343956361466 2.32951186890282 2.58785731773812
"0.31" 1.48574874510152 1.71673421123879 1.92640731435376 2.12080856495395 2.34006388725741 2.59690304968903
"0.305" 1.49543734191566 1.72704032081498 1.9327469045612 2.13009826402371 2.34820171873295 2.60344277801587
"0.3" 1.50479656479164 1.73872538118487 1.94218662244481 2.13942984084266 2.35681448568684 2.61276221920003
"0.295" 1.51629872740624 1.75031884071332 1.95012062929311 2.15096333019124 2.36673338394931 2.62251225080711
"0.29" 1.52675509634491 1.75628396263092 1.96000098964128 2.16035138794721 2.37713368032068 2.63034510986131
"0.285" 1.53689429295549 1.76472539467774 1.97201597551375 2.1694343813778 2.38634550118237 2.63996063722757
"0.28" 1.54776568974455 1.77473810333412 1.98193743805116 2.17955883539716 2.39578348459645 2.65099883553417
"0.275" 1.5563946637147 1.78520489268777 1.99436579900568 2.19108584609164 2.40406668796693 2.66031341400618
"0.27" 1.56545540071069 1.79697605470932 2.00409955472712 2.20210906089202 2.41580681012658 2.6700106240728
"0.265" 1.57768496141736 1.80673874847865 2.01490921571605 2.21347882309518 2.4248717007611 2.67790044904756
"0.26" 1.58872281897339 1.81769356702989 2.02458566111064 2.22329090767218 2.43567034715489 2.69101276522685
"0.255" 1.59993687179393 1.82903933068918 2.03491233840535 2.23378953104924 2.44508657392772 2.701918578099
"0.25" 1.61105835685193 1.83806728000137 2.04587674487021 2.24441815891649 2.45649724961563 2.71198276432386
"0.245" 1.6211157068204 1.84599551764363 2.05675107546781 2.25455758610276 2.46897151099828 2.72242168154724
"0.24" 1.63114980209553 1.85528220070595 2.0680104194032 2.26732160029955 2.47997777772391 2.73480654198142
"0.235" 1.64188406224174 1.86772983641537 2.07863358925953 2.27808419535151 2.49283758046931 2.7457774731263
"0.23" 1.65312041146655 1.8802731027468 2.08978365334658 2.29036217986252 2.50638365311483 2.75551969622219
"0.225" 1.66646381301723 1.89315211995287 2.10115642182941 2.30357718270054 2.52054568212704 2.76699421208783
"0.22" 1.67864469603146 1.90272195361459 2.11495315269572 2.31591822695394 2.53054433174347 2.77723578547082
"0.215" 1.6945196362212 1.91688324874404 2.12727998785961 2.32893880023783 2.54142819271274 2.78740038762742
"0.21" 1.70584630627932 1.92868571757525 2.1404662664386 2.33853699590813 2.55166944490919 2.80111657141292
"0.205" 1.71732847232345 1.94024446318419 2.15410815120159 2.35313516521967 2.56428210847152 2.81176777119366
"0.2" 1.73051489785162 1.95022225902109 2.16436191827135 2.36776026497735 2.57671505483142 2.82430221255447
"0.195" 1.74510294182884 1.96356848057844 2.17814447795445 2.37939979344749 2.5899891595853 2.83524244520473
"0.19" 1.75792617129085 1.97690227479632 2.19500180818426 2.39215365855905 2.59986058551005 2.84814150885978
"0.185" 1.77298712292001 1.99712802347688 2.20932764499186 2.4014880131523 2.61478106787265 2.86297187962308
"0.18" 1.78540675302891 2.01470999258988 2.22618744905174 2.41903795276234 2.62626545053929 2.87431526623948
"0.175" 1.80091999903209 2.02458274715598 2.23852908572885 2.431053565435 2.64216332799397 2.88713706690909
"0.17" 1.8170012910697 2.04031844551697 2.25387622445257 2.44286280160415 2.65336798581435 2.90168292164374
"0.165" 1.8329798166641 2.05688485766633 2.26988266254528 2.4619380048199 2.6664024110339 2.91717680363247
"0.16" 1.84894884932716 2.07484967662994 2.28649761956705 2.47707361765532 2.68225861962023 2.93062916830316
"0.155" 1.86764000091033 2.09135616107376 2.30679451203361 2.49590045787994 2.70057226149473 2.94491749858465
"0.15" 1.88315809824058 2.11193575586304 2.3217799495969 2.51616116471835 2.71882960532116 2.96132035522721
"0.145" 1.8974637459236 2.1323344414974 2.33976070819606 2.52936925450898 2.73880789931402 2.97193522228957
"0.14" 1.91578428576824 2.15235835845261 2.35556117430065 2.54427646273132 2.75472305983263 2.99198751345729
"0.135" 1.92972847312507 2.16844895595473 2.37479106522664 2.56254182137579 2.77325983551586 3.00675969105999
"0.13" 1.94510680543391 2.18547622454309 2.3946691325579 2.5804744677686 2.78807856059302 3.02197906549735
"0.125" 1.96331536302106 2.20468881611594 2.4085446194363 2.59587691177102 2.80432344953801 3.03887505774337
"0.12" 1.98046842159458 2.22622780215761 2.42814573349445 2.6166412116801 2.82775271412071 3.05443668888664
"0.115" 1.99865514740719 2.24591099020771 2.45101383725616 2.63384600095431 2.84547830447357 3.07379052556595
"0.11" 2.01837266533093 2.26765540507734 2.47211265606843 2.65437872500708 2.86498177863351 3.09065560313241
"0.105" 2.04147455747457 2.28913136032244 2.49257782935497 2.67280521189887 2.88274348225236 3.10672794017961
"0.1" 2.06653080982371 2.31306693792535 2.51634609035278 2.69897482416153 2.89765428248383 3.12754813660275
"0.095" 2.09798399295359 2.3333897644512 2.53472647197826 2.72421827749281 2.9214883769927 3.14674638729012
